2025-05-25 18:31:32,717 - INFO - Device updated to cpu
2025-05-25 18:31:32,880 - INFO - YOLO model loaded successfully
2025-05-25 18:31:32,881 - INFO - CNN model disabled until architecture is provided
2025-05-25 18:31:51,941 - INFO - Selected video: C:/Users/Lev/Desktop/covsh/test/videos/7.mp4
2025-05-25 18:32:11,515 - INFO - Video split into frames in data/frames
2025-05-25 18:32:14,267 - INFO - Processed frame frame_0009.jpg: bucket, conf: 0.73
2025-05-25 18:32:15,354 - INFO - Processed frame frame_0019.jpg: bucket, conf: 0.88
2025-05-25 18:32:15,458 - INFO - Processed frame frame_0020.jpg: bucket, conf: 0.86
2025-05-25 18:32:17,587 - INFO - Processed frame frame_0040.jpg: bucket, conf: 0.71
2025-05-25 18:32:17,697 - INFO - Processed frame frame_0041.jpg: bucket, conf: 0.67
2025-05-25 18:32:18,021 - INFO - Processed frame frame_0044.jpg: bucket, conf: 0.63
2025-05-25 18:32:18,988 - INFO - Processed frame frame_0053.jpg: bucket, conf: 0.57
2025-05-25 18:32:19,216 - INFO - Processed frame frame_0055.jpg: bucket, conf: 0.50
2025-05-25 18:32:19,326 - INFO - Processed frame frame_0056.jpg: bucket, conf: 0.69
2025-05-25 18:32:20,451 - INFO - Processed frame frame_0066.jpg: bucket, conf: 0.83
2025-05-25 18:32:20,569 - INFO - Processed frame frame_0067.jpg: bucket, conf: 0.90
2025-05-25 18:32:20,689 - INFO - Processed frame frame_0068.jpg: bucket, conf: 0.83
2025-05-25 18:32:21,260 - INFO - Processed frame frame_0073.jpg: bucket, conf: 0.79
2025-05-25 18:32:21,817 - INFO - Processed frame frame_0078.jpg: bucket, conf: 0.75
2025-05-25 18:32:21,925 - INFO - Processed frame frame_0079.jpg: bucket, conf: 0.66
2025-05-25 18:32:22,149 - INFO - Processed frame frame_0081.jpg: bucket, conf: 0.84
2025-05-25 18:32:22,578 - INFO - Processed frame frame_0085.jpg: bucket, conf: 0.81
2025-05-25 18:32:22,789 - INFO - Processed frame frame_0087.jpg: bucket, conf: 0.55
2025-05-25 18:32:23,414 - INFO - Processed frame frame_0093.jpg: bucket, conf: 0.68
2025-05-25 18:32:23,742 - INFO - Processed frame frame_0096.jpg: bucket, conf: 0.85
